RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-51.514,-49.663,-55.674,155.37,134.273,215.707,49.823,129.356,Region7
-51.33,-49.663,-55.674,153.142,134.273,215.707,49.884,129.392,Region7
-51.653,-49.663,-55.674,157.094,134.273,215.707,49.776,130.098,Region7
-51.653,-49.583,-55.674,157.094,133.427,215.707,49.586,130.843,Region7
-51.653,-49.583,-55.351,157.094,133.427,210.271,50.087,131.498,Region7
-50.969,-49.583,-55.351,148.842,133.427,210.271,50.858,130.685,Region7
-51.457,-49.583,-55.351,154.68,133.427,210.271,51.303,130.945,Region7
-51.457,-49.512,-55.351,154.68,132.687,210.271,51.612,131.281,Region7
-51.457,-49.512,-55.308,154.68,132.687,209.568,51.968,131.578,Region7
-51.523,-49.512,-55.308,155.483,132.687,209.568,52.249,131.975,Region7
-51.702,-49.512,-55.308,157.691,132.687,209.568,52.405,132.705,Region7
-51.702,-49.512,-55.513,157.691,132.687,212.979,52.127,133.346,Region7
-51.702,-49.512,-55.451,157.691,132.687,211.939,52.01,133.91,Region7
-51.738,-49.512,-55.451,158.141,132.687,211.939,51.889,134.483,Region7
-51.406,-49.512,-55.451,154.062,132.687,211.939,51.949,134.287,Region7
-52.81,-49.512,-55.451,172.089,132.687,211.939,51.231,137.349,Region7
-52.81,-49.512,-55.033,172.089,132.687,205.072,51.426,140.04,Region7
-52.227,-49.512,-55.033,164.368,132.687,205.072,51.937,140.977,Region7
-52.227,-49.45,-55.033,164.368,132.04,205.072,52.315,141.894,Region7
-52.227,-49.396,-55.033,164.368,131.474,205.072,52.584,142.783,Region7
-52.227,-49.396,-55.513,164.368,131.474,212.985,51.868,143.563,Region7
-52.2,-49.396,-55.513,164.011,131.474,212.985,51.254,144.185,Region7
-51.934,-49.396,-55.513,160.604,131.474,212.985,50.858,144.123,Region7
-51.934,-49.348,-55.513,160.604,130.978,212.985,50.457,144.141,Region7
-51.934,-49.348,-55.088,160.604,130.978,205.961,50.951,144.156,Region7
-51.942,-49.348,-55.088,160.705,130.978,205.961,51.382,144.187,Region7
-51.942,-49.348,-56.53,160.705,130.978,230.76,48.639,144.214,Region7
-51.942,-49.348,-56.921,160.705,130.978,237.993,50.022,144.238,Region7
-53.28,-49.348,-56.921,178.594,130.978,237.993,53.782,147.599,Region7
-53.004,-49.348,-56.921,174.75,130.978,237.993,56.517,149.805,Region7
-52.52,-49.348,-56.921,168.197,130.978,237.993,57.979,150.508,Region7
-52.52,-49.427,-56.921,168.197,131.796,237.993,59.236,151.008,Region7
-52.52,-49.427,-56.921,168.197,131.796,237.993,60.341,151.447,Region7
-51.73,-49.427,-56.921,158.05,131.796,237.993,59.924,150.012,Region7
-51.279,-49.427,-56.921,152.522,131.796,237.993,58.839,147.806,Region7
-51.279,-49.496,-56.921,152.522,132.519,237.993,57.859,145.762,Region7
-51.279,-49.496,-56.921,152.522,132.519,237.993,56.999,143.965,Region7
-51.279,-49.496,-56.921,152.522,132.519,237.993,56.242,142.386,Region7
-51.487,-49.496,-56.921,155.048,132.519,237.993,55.903,141.425,Region7
-51.487,-49.678,-56.921,155.048,134.435,237.993,55.537,140.299,Region7
-51.487,-49.678,-56.921,155.048,134.435,237.993,55.216,139.31,Region7
-50.823,-49.678,-56.921,147.137,134.435,237.993,53.932,137.125,Region7
-51.208,-49.678,-56.921,151.667,134.435,237.993,53.37,135.949,Region7
-51.208,-49.717,-56.921,151.667,134.848,237.993,52.862,134.854,Region7
-51.208,-49.717,-56.921,151.667,134.848,237.993,52.416,133.892,Region7
-51.182,-49.717,-56.921,151.367,134.848,237.993,51.985,132.996,Region7
-51.182,-49.63,-56.921,151.367,133.929,237.993,51.639,132.344,Region7
-51.182,-49.675,-56.921,151.367,134.402,237.993,51.318,131.702,Region7
-51.182,-49.675,-56.921,151.367,134.402,237.993,51.036,131.137,Region7
-50.555,-49.675,-56.921,144.062,134.402,237.993,49.883,129.454,Region7
-50.972,-49.675,-56.921,148.877,134.402,237.993,49.461,128.75,Region7
-47.708,-49.675,-56.921,115.087,134.402,237.993,45.352,123.224,Region7
