RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-54.954,-50.354,-52.054,203.794,141.798,162.138,165.786,91.223,Region9
-54.954,-50.354,-52.054,203.794,141.798,162.138,165.551,91.109,Region9
-54.954,-50.354,-52.054,203.794,141.798,162.138,165.345,91.009,Region9
-54.954,-50.354,-52.054,203.794,141.798,162.138,165.163,90.921,Region9
-54.954,-50.354,-51.927,203.794,141.798,160.515,165.119,90.994,Region9
-54.954,-50.354,-51.927,203.794,141.798,160.515,165.08,91.059,Region9
-54.717,-50.354,-51.927,200.019,141.798,160.515,164.606,91.116,Region9
-54.717,-50.233,-51.927,200.019,140.45,160.515,164.216,91.056,Region9
-54.717,-50.233,-51.814,200.019,140.45,159.101,163.972,91.134,Region9
-54.717,-50.233,-51.814,200.019,140.45,159.101,163.758,91.202,Region9
-54.717,-50.233,-51.814,200.019,140.45,159.101,163.57,91.262,Region9
-54.717,-50.233,-51.837,200.019,140.45,159.383,163.384,91.289,Region9
-54.717,-50.233,-51.736,200.019,140.45,158.115,163.31,91.428,Region9
-54.717,-50.233,-51.736,200.019,140.45,158.115,163.244,91.551,Region9
-54.994,-50.233,-51.736,204.435,140.45,158.115,163.701,91.659,Region9
-54.995,-50.233,-51.736,204.447,140.45,158.115,164.105,91.754,Region9
-54.995,-50.233,-51.768,204.447,140.45,158.515,164.431,91.801,Region9
-54.995,-50.233,-51.768,204.447,140.45,158.515,164.718,91.842,Region9
-54.874,-50.233,-51.768,202.513,140.45,158.515,164.744,91.878,Region9
-54.874,-48.588,-51.768,202.513,123.365,158.515,165.076,90.611,Region9
-54.874,-48.588,-51.675,202.513,123.365,157.358,165.448,89.603,Region9
-54.889,-48.588,-51.675,202.757,123.365,157.358,165.803,88.716,Region9
-54.66,-48.588,-51.675,199.131,123.365,157.358,165.695,87.937,Region9
-54.66,-48.679,-51.675,199.131,124.245,157.358,165.586,87.315,Region9
-54.66,-48.679,-51.714,199.131,124.245,157.847,165.456,86.724,Region9
-54.66,-48.679,-51.714,199.131,124.245,157.847,165.341,86.205,Region9
-54.66,-49.312,-51.714,199.131,130.611,157.847,165.129,86.216,Region9
-54.823,-49.312,-51.714,201.695,130.611,157.847,165.239,86.225,Region9
-54.823,-49.312,-51.749,201.695,130.611,158.278,165.306,86.194,Region9
-54.823,-49.312,-51.749,201.695,130.611,158.278,165.364,86.167,Region9
-54.823,-49.312,-51.749,201.695,130.611,158.278,165.416,86.143,Region9
-54.823,-49.312,-52.142,201.695,130.611,163.267,165.109,85.66,Region9
-54.823,-49.312,-52.367,201.695,130.611,166.188,164.628,84.958,Region9
-54.823,-49.312,-52.367,201.695,130.611,166.188,164.205,84.341,Region9
-54.844,-49.312,-52.367,202.037,130.611,166.188,163.873,83.798,Region9
-55.105,-49.312,-52.367,206.238,130.611,166.188,164.076,83.322,Region9
-55.105,-49.312,-52.686,206.238,130.611,170.417,163.941,82.492,Region9
-55.105,-49.312,-52.686,206.238,130.611,170.417,163.823,81.763,Region9
-55.105,-49.312,-52.686,206.238,130.611,170.417,163.719,81.123,Region9
-55.105,-49.312,-53.208,206.238,130.611,177.58,163.081,79.841,Region9
-55.105,-49.312,-53.425,206.238,130.611,180.644,162.278,78.398,Region9
-55.07,-49.312,-53.425,205.664,130.611,180.644,163.856,77.13,Region9
-55.07,-49.312,-53.425,205.664,130.611,180.644,165.242,76.016,Region9
-55.07,-49.312,-53.737,205.664,130.611,185.139,166.348,74.562,Region9
-55.07,-49.312,-53.889,205.664,130.611,187.385,167.263,73.044,Region9
-54.819,-49.312,-53.889,201.641,130.611,187.385,167.594,71.709,Region9
-54.841,-49.312,-53.889,201.989,130.611,187.385,167.926,70.535,Region9
-54.841,-49.312,-54.266,201.989,130.611,193.031,168.071,68.885,Region9
-54.841,-49.312,-54.234,201.989,130.611,192.542,168.211,67.489,Region9
-54.739,-49.312,-54.234,200.374,130.611,192.542,168.146,66.262,Region9
-54.771,-49.312,-54.234,200.873,130.611,192.542,168.148,65.183,Region9
-54.771,-49.312,-54.205,200.873,130.611,192.113,168.16,64.282,Region9
-54.771,-49.312,-54.06,200.873,130.611,189.915,168.228,63.733,Region9
-54.771,-49.312,-53.931,200.873,130.611,188.005,168.338,63.458,Region9
-54.92,-49.312,-53.931,203.243,130.611,188.005,168.711,63.216,Region9
-54.92,-49.312,-53.931,203.243,130.611,188.005,169.038,63.004,Region9
-54.92,-49.312,-53.94,203.243,130.611,188.128,169.323,62.804,Region9
-54.687,-49.312,-53.94,199.553,130.611,188.128,169.145,62.628,Region9
-54.687,-49.312,-53.94,199.553,130.611,188.128,168.988,62.473,Region9
-54.687,-49.312,-53.94,199.553,130.611,188.128,168.85,62.337,Region9
-54.687,-49.312,-53.826,199.553,130.611,186.448,168.772,62.399,Region9
-54.483,-49.312,-53.826,196.366,130.611,186.448,168.34,62.453,Region9
-54.667,-49.312,-53.826,199.229,130.611,186.448,168.287,62.501,Region9
-54.667,-49.312,-54.21,199.229,130.611,192.183,168.091,61.918,Region9
-54.667,-49.312,-54.064,199.229,130.611,189.976,167.977,61.648,Region9
-54.667,-49.312,-54.064,199.229,130.611,189.976,167.876,61.41,Region9
-54.828,-49.312,-54.064,201.781,130.611,189.976,168.083,61.202,Region9
-54.828,-49.312,-54.064,201.781,130.611,189.976,168.264,61.018,Region9
-54.828,-49.312,-54.056,201.781,130.611,189.861,168.427,60.87,Region9
-54.828,-49.312,-54.056,201.781,130.611,189.861,168.57,60.739,Region9
-54.849,-49.312,-54.056,202.112,130.611,189.861,168.734,60.624,Region9
-54.867,-49.312,-54.056,202.404,130.611,189.861,168.912,60.523,Region9
-54.867,-49.312,-54.533,202.404,130.611,197.144,168.876,59.622,Region9
-54.641,-49.312,-54.533,198.829,130.611,197.144,168.43,58.83,Region9
-54.641,-49.312,-54.533,198.829,130.611,197.144,168.038,58.134,Region9
-54.641,-49.774,-54.533,198.829,135.455,197.144,167.411,57.894,Region9
-54.641,-49.774,-54.469,198.829,135.455,196.143,166.887,57.796,Region9
