,RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY
63,-51.763000000000005,-50.472,-57.331,158.455,143.114,245.815,115.066,13.110999999999999
64,-51.763000000000005,-50.472,-56.928000000000004,158.455,143.114,238.122,115.001,13.795
65,-52.034,-50.472,-56.928000000000004,161.874,143.114,238.122,115.259,14.395999999999999
66,-52.034,-50.472,-56.928000000000004,161.874,143.114,238.122,115.48700000000001,14.924000000000001
67,-52.034,-50.472,-56.816,161.874,143.114,236.02200000000002,115.755,15.675999999999998
68,-52.034,-50.472,-56.354,161.874,143.114,227.581,116.259,17.464000000000002
69,-51.666000000000004,-50.472,-56.354,157.255,143.114,227.581,116.277,19.035
70,-52.07,-50.472,-56.354,162.338,143.114,227.581,116.762,20.417
71,-52.07,-50.472,-56.354,162.338,143.114,227.581,117.18700000000001,21.631
72,-52.07,-50.472,-56.19,162.338,143.114,224.65900000000002,117.652,23.079
73,-51.698,-50.472,-56.19,157.651,143.114,224.65900000000002,117.62799999999999,24.351999999999997
74,-52.218999999999994,-50.472,-56.19,164.25799999999998,143.114,224.65900000000002,118.22,25.471
75,-52.218999999999994,-50.472,-56.167,164.25799999999998,143.114,224.252,118.75299999999999,26.506999999999998
76,-52.218999999999994,-50.472,-56.026,164.25799999999998,143.114,221.768,119.29799999999999,27.737
77,-52.218999999999994,-50.472,-55.902,164.25799999999998,143.114,219.607,119.84200000000001,29.093000000000004
78,-52.677,-50.472,-55.902,170.294,143.114,219.607,120.902,30.285
79,-52.677,-50.472,-55.913999999999994,170.294,143.114,219.813,121.82799999999999,31.305999999999997
80,-52.677,-50.472,-55.803000000000004,170.294,143.114,217.905,122.699,32.444
81,-52.677,-50.472,-55.803000000000004,170.294,143.114,217.905,123.464,33.445
82,-52.958,-50.472,-55.803000000000004,174.113,143.114,217.905,124.516,34.325
83,-52.958,-50.472,-56.068999999999996,174.113,143.114,222.52200000000002,125.301,34.512
84,-52.958,-50.472,-56.181999999999995,174.113,143.114,224.50900000000001,125.93,34.42
85,-52.958,-50.472,-56.281000000000006,174.113,143.114,226.269,126.428,34.111
86,-53.326,-50.472,-56.281000000000006,179.24200000000002,143.114,226.269,127.389,33.84
87,-53.65,-50.472,-56.281000000000006,183.875,143.114,226.269,128.718,33.601
88,-53.65,-50.472,-56.281000000000006,183.875,143.114,226.269,129.886,33.391
89,-53.65,-50.472,-56.281000000000006,183.875,143.114,226.269,130.91299999999998,33.205999999999996
90,-53.571000000000005,-50.472,-56.281000000000006,182.739,143.114,226.269,131.695,33.044000000000004
91,-53.571000000000005,-50.472,-57.215,182.739,143.114,243.56900000000002,131.825,30.559
92,-53.571000000000005,-50.472,-58.157,182.739,143.114,262.356,131.287,26.861
93,-53.018,-50.472,-58.157,174.938,143.114,262.356,130.01,23.609
94,-52.773999999999994,-50.472,-58.157,171.601,143.114,262.356,128.555,20.752
95,-52.559,-50.472,-58.157,168.72099999999998,143.114,262.356,126.993,18.24
96,-52.559,-59.36600000000001,-50.472,168.72099999999998,288.593,143.114,121.757,16.033
97,-52.007,-59.36600000000001,-50.472,161.537,288.593,143.114,116.16,14.092
98,-52.248000000000005,-59.36600000000001,-50.472,164.639,288.593,143.114,111.664,12.386
99,-52.248000000000005,-58.838,-50.472,164.639,276.815,143.114,108.585,10.887
100,-52.248000000000005,-58.838,-50.472,164.639,276.815,143.114,105.87899999999999,9.568999999999999
101,-52.248000000000005,-58.615,-50.472,164.639,272.002,143.114,103.846,8.411
102,-52.46,-58.615,-50.472,167.41400000000002,272.002,143.114,102.446,7.393
103,-52.46,-58.299,-50.472,167.41400000000002,265.297,143.114,101.68700000000001,6.497999999999999
104,-52.46,-58.299,-50.472,167.41400000000002,265.297,143.114,101.02,5.712000000000001
105,-52.46,-58.299,-50.472,167.41400000000002,265.297,143.114,100.434,5.02
106,-52.888999999999996,-58.299,-50.472,173.167,265.297,143.114,100.73899999999999,4.413
107,-53.265,-58.299,-50.472,178.386,265.297,143.114,101.777,3.8789999999999996
108,-53.265,-58.299,-50.472,178.386,265.297,143.114,102.689,3.409
109,-53.475,-58.299,-50.472,181.364,265.297,143.114,103.94,2.997
110,-53.781000000000006,-58.299,-50.472,185.787,265.297,143.114,105.721,2.634
111,-53.781000000000006,-58.299,-50.472,185.787,265.297,143.114,107.285,2.315
112,-53.781000000000006,-58.299,-50.472,185.787,265.297,143.114,108.661,2.035
113,-53.202,-58.299,-50.472,177.5,265.297,143.114,108.60799999999999,1.7890000000000001
114,-53.299,-58.299,-50.472,178.857,265.297,143.114,108.764,1.5719999999999998
115,-53.38399999999999,-58.299,-50.472,180.058,265.297,143.114,109.08200000000001,1.382
116,-53.38399999999999,-58.299,-50.472,180.058,265.297,143.114,109.361,1.215
117,-53.336999999999996,-58.299,-50.472,179.4,265.297,143.114,109.508,1.068
118,-53.336999999999996,-57.778,-50.472,179.4,254.63299999999998,143.114,110.363,0.938
119,-53.336999999999996,-57.563,-50.472,179.4,250.34799999999998,143.114,111.398,0.825
120,-53.336999999999996,-57.563,-50.472,179.4,250.34799999999998,143.114,112.307,0.725
121,-53.175,-57.563,-50.472,177.125,250.34799999999998,143.114,112.76700000000001,0.637
122,-53.396,-57.563,-50.472,180.237,250.34799999999998,143.114,113.637,0.56
123,-53.59,-57.563,-50.472,183.017,250.34799999999998,143.114,114.825,0.49200000000000005
124,-53.59,-57.563,-50.472,183.017,250.34799999999998,143.114,115.869,0.433
125,-53.519,-57.563,-50.472,181.989,250.34799999999998,143.114,116.63,0.38
126,-53.214,-57.563,-50.472,177.666,250.34799999999998,143.114,116.647,0.33399999999999996
127,-53.214,-57.563,-50.472,177.666,250.34799999999998,143.114,116.661,0.294
128,-53.214,-57.563,-50.472,177.666,250.34799999999998,143.114,116.67399999999999,0.258
129,-53.214,-57.736999999999995,-50.472,177.666,253.805,143.114,116.458,0.22699999999999998
