RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-42.633,-55.309,-59.468,77.132,209.58,290.919,60.212,0.069,Region6
-43.282,-55.309,-59.468,81.186,209.58,290.919,61.096,0.061,Region6
-44.095,-55.309,-59.468,86.562,209.58,290.919,61.756,0.053,Region6
-44.095,-55.309,-59.532,86.562,209.58,292.4,62.087,0.047,Region6
-44.095,-55.309,-59.347,86.562,209.58,288.156,63.088,0.041,Region6
-44.568,-55.309,-59.347,89.848,209.58,288.156,63.891,0.036,Region6
-45.226,-55.309,-59.347,94.629,209.58,288.156,64.482,0.032,Region6
-46.772,-55.309,-59.347,106.9,209.58,288.156,64.678,0.028,Region6
-46.772,-55.309,-59.426,106.9,209.58,289.958,64.549,0.024,Region6
-46.678,-55.309,-59.426,106.115,209.58,289.958,64.458,0.021,Region6
-46.678,-55.03,-59.426,106.115,205.012,289.958,63.585,0.019,Region6
-47.928,-55.03,-59.426,117.101,205.012,289.958,62.495,0.016,Region6
-47.928,-55.03,-59.132,117.101,205.012,283.322,62.634,0.014,Region6
-47.815,-55.03,-59.132,116.069,205.012,283.322,62.788,0.01,Region6
-47.959,-55.03,-59.132,117.389,205.012,283.322,62.882,0.011,Region6
-48.569,-55.03,-59.132,123.175,205.012,283.322,62.783,0.01,Region6
-48.569,-55.03,-59.116,123.175,205.012,282.965,62.754,0.008,Region6
-48.379,-55.03,-59.116,121.345,205.012,282.965,62.788,0.007,Region6
-48.379,-54.784,-59.116,121.345,201.079,282.965,62.147,0.006,Region6
-49.422,-54.784,-59.116,131.751,201.079,282.965,61.24,0.02,Region6
-49.422,-54.784,-58.981,131.751,201.079,279.966,60.928,0.031,Region6
-49.25,-54.784,-58.981,129.975,201.079,279.966,60.715,0.02,Region6
-49.341,-54.784,-58.981,130.908,201.079,279.966,60.496,0.024,Region6
-49.341,-54.784,-59.225,130.908,201.079,285.413,59.416,0.021,Region6
-49.341,-54.784,-58.956,130.908,201.079,279.415,59.443,0.01,Region6
-49.341,-54.784,-58.719,130.908,201.079,274.247,60.292,0.016,Region6
-49.421,-54.784,-58.719,131.734,201.079,274.247,61.009,0.026,Region6
-49.421,-54.784,-58.995,131.734,201.079,280.282,60.675,0.034,Region6
-49.421,-54.784,-59.117,131.734,201.079,282.982,59.943,0.042,Region6
-49.421,-54.81,-59.117,131.734,201.494,282.982,59.37,0.037,Region6
-49.421,-54.591,-59.117,131.734,198.043,282.982,58.288,0.711,Region6
-49.421,-54.591,-59.708,131.734,198.043,296.483,55.083,1.303,Region6
-49.421,-54.591,-59.743,131.734,198.043,296.94,52.188,1.824,Region6
-49.37,-54.591,-59.743,131.206,198.043,296.94,49.661,2.205,Region6
-49.37,-54.398,-59.743,131.206,195.058,296.94,46.948,3.185,Region6
-49.37,-54.398,-60.38,131.206,195.058,296.94,44.563,4.047,Region6
-49.37,-54.398,-60.818,131.206,195.058,296.94,42.468,4.805,Region6
-49.37,-54.471,-60.818,131.206,196.182,296.94,40.81,5.229,Region6
-49.446,-54.471,-60.818,131.998,196.182,296.94,39.325,5.716,Region6
-49.876,-54.471,-60.818,136.552,196.182,296.94,37.86,6.817,Region6
-49.876,-54.471,-61.445,136.552,196.182,296.94,36.572,7.785,Region6
-49.876,-54.535,-61.445,136.552,197.174,296.94,35.604,8.421,Region6
-49.876,-54.349,-61.445,136.552,194.306,296.94,34.282,9.598,Region6
-49.876,-54.349,-61.633,136.552,194.306,296.94,33.12,10.632,Region6
-49.876,-54.349,-61.557,136.552,194.306,296.94,32.099,11.541,Region6
-49.649,-54.349,-61.557,134.128,194.306,296.94,31.288,11.979,Region6
-49.649,-54.186,-61.557,134.128,191.82,296.94,30.172,12.892,Region6
-49.649,-54.186,-61.61,134.128,191.82,296.94,29.191,13.695,Region6
-49.649,-54.186,-61.294,134.128,191.82,296.94,28.329,14.401,Region6
-49.45,-54.186,-61.294,132.033,191.82,296.94,27.645,14.714,Region6
-49.637,-54.186,-61.294,134.002,191.82,296.94,26.974,15.278,Region6
-50.649,-54.186,-61.294,145.136,191.82,296.94,25.978,17.483,Region6
-50.649,-54.186,-61.017,145.136,191.82,296.94,25.102,19.422,Region6
-50.329,-54.186,-61.017,141.512,191.82,296.94,24.468,20.554,Region6
-50.41,-54.186,-61.017,142.421,191.82,296.94,23.877,21.691,Region6
-50.41,-54.769,-61.017,142.421,200.839,296.94,24.843,20.742,Region6
-50.41,-54.769,-61.017,142.421,200.839,296.94,25.691,19.909,Region6
-50.41,-55.644,-61.017,142.421,215.19,296.94,28.939,17.499,Region6
-50.36,-55.644,-61.017,141.865,215.19,296.94,31.815,15.381,Region6
-50.36,-56.534,-61.017,141.865,230.841,296.94,37.269,13.519,Region6
-50.36,-56.534,-60.773,141.865,230.841,296.94,42.062,11.883,Region6
-50.075,-56.534,-60.773,138.705,230.841,296.94,46.392,10.445,Region6
-50.075,-57.317,-60.773,138.705,245.535,296.94,53.132,9.181,Region6
-50.075,-57.317,-60.773,138.705,245.535,296.94,59.056,8.069,Region6
-50.075,-57.317,-60.828,138.705,245.535,296.94,51.908,7.093,Region6
-50.066,-57.317,-60.828,138.606,245.535,296.94,45.625,6.234,Region6
-50.066,-58.247,-60.828,138.606,264.216,296.94,40.103,5.48,Region6
-50.066,-59.79,-60.828,138.606,296.94,296.94,35.249,4.816,Region6
-50.066,-59.79,-60.828,138.606,296.94,296.94,30.983,4.233,Region6
-50.058,-59.79,-60.828,138.519,296.94,296.94,27.233,3.721,Region6
-50.051,-59.79,-60.828,138.443,296.94,296.94,23.937,3.271,Region6
-50.051,-59.79,-60.828,138.443,296.94,296.94,21.04,2.875,Region6
-50.051,-59.79,-60.828,138.443,296.94,296.94,18.493,2.527,Region6
-49.924,-59.79,-60.828,137.062,296.94,296.94,16.255,2.221,Region6
-49.933,-59.79,-60.828,137.162,296.94,296.94,14.287,1.952,Region6
-49.933,-59.937,-60.828,137.162,296.94,296.94,12.558,1.716,Region6
-49.933,-59.937,-60.828,137.162,296.94,296.94,11.038,1.508,Region6
-49.933,-59.937,-60.828,137.162,296.94,296.94,9.702,1.326,Region6
-49.933,-59.823,-60.828,137.162,296.94,296.94,8.528,1.165,Region6
-49.933,-59.724,-60.828,137.162,296.852,296.94,7.496,1.024,Region6
-49.933,-59.724,-60.828,137.162,296.852,296.94,6.588,0.9,Region6
-49.699,-59.724,-60.828,134.655,296.852,296.94,5.791,0.791,Region6
-49.735,-59.724,-60.828,135.042,296.852,296.94,5.09,0.696,Region6
-49.735,-59.394,-60.828,135.042,289.234,296.94,4.474,0.611,Region6
-49.735,-59.394,-60.828,135.042,289.234,296.94,3.932,0.537,Region6
-49.525,-59.394,-60.828,132.824,289.234,296.94,3.457,0.472,Region6
-49.462,-59.394,-60.828,132.16,289.234,296.94,3.038,0.415,Region6
-49.462,-58.862,-60.828,132.16,277.355,296.94,2.67,0.365,Region6
-49.462,-58.862,-60.828,132.16,277.355,296.94,2.347,0.321,Region6
-48.195,-58.862,-60.828,119.601,277.355,296.94,2.063,0.282,Region6
-48.414,-58.862,-60.828,121.679,277.355,296.94,1.813,0.248,Region6
-48.414,-58.862,-60.828,121.679,277.355,296.94,1.594,0.218,Region6
-48.414,-58.862,-60.828,121.679,277.355,296.94,1.401,0.191,Region6
-48.243,-58.862,-60.828,120.048,277.355,296.94,1.231,0.168,Region6
-48.455,-58.862,-60.828,122.078,277.355,296.94,1.082,0.148,Region6
-48.642,-58.862,-60.828,123.891,277.355,296.94,0.951,0.13,Region6
-48.642,-58.862,-60.828,123.891,277.355,296.94,0.836,0.114,Region6
-48.444,-58.862,-60.828,121.964,277.355,296.94,0.735,0.1,Region6
-48.632,-58.862,-60.828,123.79,277.355,296.94,0.646,0.088,Region6
-48.632,-58.862,-60.828,123.79,277.355,296.94,0.568,0.077,Region6
-48.632,-58.862,-60.828,123.79,277.355,296.94,0.499,0.068,Region6
-48.434,-58.862,-60.828,121.877,277.355,296.94,0.439,0.059,Region6
-48.434,-58.032,-60.828,121.877,259.772,296.94,0.386,0.052,Region6
-48.434,-57.544,-60.828,121.877,249.966,296.94,0.339,0.046,Region6
-50.197,-57.544,-60.828,140.054,249.966,296.94,0.298,0.04,Region6
-49.568,-57.544,-60.828,133.276,249.966,296.94,0.262,0.035,Region6
-49.136,-57.544,-60.828,128.813,249.966,296.94,0.23,0.031,Region6
-48.757,-57.544,-60.828,125.014,249.966,296.94,0.202,0.027,Region6
-48.757,-57.544,-60.828,125.014,249.966,296.94,0.178,0.024,Region6
-47.939,-57.544,-60.828,117.207,249.966,296.94,0.156,0.021,Region6
-47.462,-57.544,-60.828,112.882,249.966,296.94,0.137,0.018,Region6
-48.011,-57.544,-60.828,117.878,249.966,296.94,0.121,0.016,Region6
-48.011,-57.544,-60.828,117.878,249.966,296.94,0.106,0.014,Region6
-47.284,-57.544,-60.828,111.306,249.966,296.94,0.093,0.012,Region6
-46.765,-57.544,-60.828,106.846,249.966,296.94,0.08,0.011,Region6
-47.399,-57.544,-60.828,112.32,249.966,296.94,0.072,0.009,Region6
-47.399,-57.544,-60.828,112.32,249.966,296.94,0.063,0.008,Region6
-46.503,-57.544,-60.828,104.662,249.966,296.94,0.055,0.007,Region6
-46.503,-56.147,-60.828,104.662,223.888,296.94,0.048,0.006,Region6
-46.806,-56.147,-60.828,107.186,223.888,296.94,0.04,0.005,Region6
-46.806,-56.147,-60.828,107.186,223.888,296.94,0.037,0.005,Region6
-46.806,-56.147,-60.828,107.186,223.888,296.94,0.033,0.004,Region6
-46.466,-56.147,-60.828,104.354,223.888,296.94,0.029,0.003,Region6
