,RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY
2,-53.36600000000001,-50.963,-54.15,179.804,148.775,191.269,135.77200000000002,71.499
3,-53.36600000000001,-50.963,-54.253,179.804,148.775,192.828,136.25799999999998,71.217
4,-53.36600000000001,-50.963,-54.101000000000006,179.804,148.775,190.537,136.746,71.222
5,-53.321000000000005,-50.963,-54.101000000000006,179.178,148.775,190.537,137.11,71.227
6,-53.403999999999996,-50.963,-54.101000000000006,180.342,148.775,190.537,137.55100000000002,71.23100000000001
7,-53.403999999999996,-50.963,-54.21,180.342,148.775,192.179,137.895,71.054
8,-53.403999999999996,-50.963,-54.063,180.342,148.775,189.972,138.255,71.141
9,-53.355,-50.963,-54.063,179.648,148.775,189.972,138.5,71.217
10,-53.433,-50.963,-54.063,180.75799999999998,148.775,189.972,138.83100000000002,71.285
11,-53.433,-50.963,-54.177,180.75799999999998,148.775,191.678,139.076,71.156
12,-53.433,-50.963,-53.913000000000004,180.75799999999998,148.775,187.737,139.395,71.47399999999999
13,-53.433,-50.963,-53.913000000000004,180.75799999999998,148.775,187.737,139.675,71.753
14,-53.38,-50.963,-53.913000000000004,180.013,148.775,187.737,139.844,71.999
15,-53.38,-50.963,-54.045,180.013,148.775,189.695,139.941,72.002
16,-53.38,-50.963,-54.16,180.013,148.775,191.43200000000002,139.982,71.814
17,-53.092,-50.963,-54.16,175.96900000000002,148.775,191.43200000000002,139.602,71.648
18,-53.081,-50.963,-54.16,175.81400000000002,148.775,191.43200000000002,139.253,71.503
19,-53.081,-50.963,-54.262,175.81400000000002,148.775,192.972,138.906,71.205
20,-53.081,-50.963,-54.108999999999995,175.81400000000002,148.775,190.662,138.661,71.19800000000001
203,-52.41,-50.363,-52.181000000000004,166.75,141.892,163.769,135.175,86.318
204,-52.41,-50.363,-52.522,166.75,141.892,168.235,135.47899999999998,86.225
205,-52.118,-50.363,-52.522,162.958,141.892,168.235,135.386,86.14299999999999
206,-52.225,-50.363,-52.522,164.33599999999998,141.892,168.235,135.433,86.071
207,-53.045,-50.363,-52.522,175.313,141.892,168.235,136.55,86.008
