RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-51.937,-49.297,-54.729,160.65,130.456,200.204,130.596,51.136,Region5
-51.937,-49.297,-54.729,160.65,130.456,200.204,130.754,51.01,Region5
-52.429,-49.297,-54.729,167.002,130.456,200.204,131.492,50.898,Region5
-52.429,-49.297,-54.882,167.002,130.456,202.648,132.074,50.516,Region5
-52.429,-49.297,-54.655,167.002,130.456,199.04,132.685,50.598,Region5
-52.429,-49.297,-54.655,167.002,130.456,199.04,133.222,50.671,Region5
-52.982,-49.297,-54.655,174.449,130.456,199.04,134.426,50.734,Region5
-52.982,-49.297,-54.655,174.449,130.456,199.04,135.485,50.79,Region5
-52.982,-49.297,-54.575,174.449,130.456,197.8,136.449,50.981,Region5
-53.105,-49.297,-54.575,176.152,130.456,197.8,137.469,51.148,Region5
-53.456,-49.297,-54.575,181.086,130.456,197.8,138.873,51.296,Region5
-53.456,-49.297,-54.627,181.086,130.456,198.603,140.086,51.334,Region5
-53.456,-49.297,-54.43,181.086,130.456,195.544,141.234,51.714,Region5
-52.917,-49.297,-54.43,173.546,130.456,195.544,141.473,52.049,Region5
-52.917,-49.297,-54.43,173.546,130.456,195.544,141.683,52.343,Region5
-52.917,-49.297,-54.43,173.546,130.456,195.544,141.868,52.602,Region5
-52.917,-50.472,-54.43,173.546,143.114,195.544,141.27,53.827,Region5
-52.917,-50.472,-54.43,173.546,143.114,195.544,140.744,54.904,Region5
-53.048,-50.472,-54.43,175.35,143.114,195.544,140.463,55.851,Region5
-53.284,-50.472,-54.43,178.648,143.114,195.544,140.553,56.683,Region5
-53.284,-50.472,-54.499,178.648,143.114,196.611,140.603,57.293,Region5
-53.284,-50.472,-54.499,178.648,143.114,196.611,140.647,57.83,Region5
-53.284,-50.472,-54.499,178.648,143.114,196.611,140.686,58.302,Region5
-53.284,-50.472,-54.499,178.648,143.114,196.611,140.72,58.717,Region5
-53.284,-50.472,-54.923,178.648,143.114,203.291,140.567,58.311,Region5
-52.644,-50.472,-54.923,169.862,143.114,203.291,139.55,57.955,Region5
-52.808,-50.472,-54.923,172.074,143.114,203.291,138.873,57.642,Region5
-52.808,-50.472,-55.779,172.074,143.114,217.498,137.869,55.644,Region5
-52.808,-50.472,-56.29,172.074,143.114,226.438,136.714,52.744,Region5
-52.226,-50.472,-56.29,164.356,143.114,226.438,134.95,50.195,Region5
-52.32,-50.472,-56.29,165.573,143.114,226.438,133.515,47.955,Region5
-52.32,-50.472,-56.29,165.573,143.114,226.438,132.255,45.985,Region5
-52.32,-50.472,-56.376,165.573,143.114,227.978,131.098,44.053,Region5
-52.32,-50.472,-56.376,165.573,143.114,227.978,130.082,42.354,Region5
-52.32,-50.472,-56.376,165.573,143.114,227.978,129.189,40.861,Region5
-52.32,-50.472,-56.376,165.573,143.114,227.978,128.404,39.549,Region5
-52.32,-50.472,-56.209,165.573,143.114,225.003,127.806,38.784,Region5
-52.16,-50.472,-56.209,163.5,143.114,225.003,127.084,38.111,Region5
-52.262,-50.472,-56.209,164.816,143.114,225.003,126.574,37.52,Region5
-53.077,-50.472,-56.209,175.763,143.114,225.003,127.2,37,Region5
-53.077,-50.472,-56.184,175.763,143.114,224.554,127.764,36.602,Region5
-53.077,-50.472,-56.184,175.763,143.114,224.554,128.26,36.252,Region5
-53.077,-50.472,-56.184,175.763,143.114,224.554,128.696,35.944,Region5
-53.077,-50.472,-56.184,175.763,143.114,224.554,129.079,35.673,Region5
-53.077,-50.472,-56.283,175.763,143.114,226.309,129.362,35.207,Region5
-52.947,-50.472,-56.283,173.965,143.114,226.309,129.429,34.798,Region5
-53.075,-50.472,-56.283,175.722,143.114,226.309,129.665,34.438,Region5
-53.075,-50.472,-56.733,175.722,143.114,234.482,129.614,33.036,Region5
-53.075,-50.472,-56.886,175.722,143.114,237.335,129.477,31.416,Region5
-52.46,-50.472,-56.886,167.414,143.114,237.335,128.534,29.992,Region5
-51.799,-50.472,-56.886,158.913,143.114,237.335,126.907,28.741,Region5
-51.799,-50.472,-56.886,158.913,143.114,237.335,125.476,27.641,Region5
-51.799,-50.472,-57.142,158.913,143.114,242.172,124.06,26.005,Region5
-51.824,-50.472,-57.142,159.217,143.114,242.172,122.843,24.568,Region5
-52.087,-50.472,-57.142,162.559,143.114,242.172,122.083,23.305,Region5
-52.087,-50.472,-57.488,162.559,143.114,248.869,121.189,21.246,Region5
-52.087,-50.472,-57.429,162.559,143.114,247.713,120.443,19.603,Region5
-51.592,-50.472,-57.429,156.34,143.114,247.713,119.216,18.158,Region5
-51.592,-50.472,-57.429,156.34,143.114,247.713,118.137,16.888,Region5
-51.592,-50.472,-57.429,156.34,143.114,247.713,117.189,15.772,Region5
-51.592,-50.472,-57.377,156.34,143.114,246.701,116.39,14.935,Region5
-51.763,-50.472,-57.377,158.455,143.114,246.701,115.879,14.2,Region5
-51.763,-50.472,-57.377,158.455,143.114,246.701,115.43,13.553,Region5
-51.763,-50.472,-57.331,158.455,143.114,245.815,115.066,13.111,Region5
-51.763,-50.472,-56.928,158.455,143.114,238.122,115.001,13.795,Region5
-52.034,-50.472,-56.928,161.874,143.114,238.122,115.259,14.396,Region5
-52.034,-50.472,-56.928,161.874,143.114,238.122,115.487,14.924,Region5
-52.034,-50.472,-56.816,161.874,143.114,236.022,115.755,15.676,Region5
-52.034,-50.472,-56.354,161.874,143.114,227.581,116.259,17.464,Region5
-51.666,-50.472,-56.354,157.255,143.114,227.581,116.277,19.035,Region5
-52.07,-50.472,-56.354,162.338,143.114,227.581,116.762,20.417,Region5
-52.07,-50.472,-56.354,162.338,143.114,227.581,117.187,21.631,Region5
-52.07,-50.472,-56.19,162.338,143.114,224.659,117.652,23.079,Region5
-51.698,-50.472,-56.19,157.651,143.114,224.659,117.628,24.352,Region5
-52.219,-50.472,-56.19,164.258,143.114,224.659,118.22,25.471,Region5
-52.219,-50.472,-56.167,164.258,143.114,224.252,118.753,26.507,Region5
-52.219,-50.472,-56.026,164.258,143.114,221.768,119.298,27.737,Region5
-52.219,-50.472,-55.902,164.258,143.114,219.607,119.842,29.093,Region5
